feedback_code,feedback_description,position,component_tag,type,nature,component_description,content,status,error_tag,error_description,task_types,exercises
AP_FB_b70574d7,task_type | FO_1.1.1.6 | logos,1,AP_C_b70574d7_1,Text,logos,logos,"Le corps d'une fonction est l'ensemble des instructions qui définissent ta fonction - celles qui sont exécutées à chaque fois que tu appelles la fonction. Pour l'identifier, après la ligne <code-inline>def nom_fonction (): <\code-inline> il faut indenter (décaler à droite) toutes les instructions qui définissent la fonction (comme pour le corps d'une boucle par exemple)",approved,,,FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_232f28b6,task_type | FO_1.1.1.6 | technical,1,AP_C_232f28b6_1,Text,technique,technical,"Pour définir le corps d'une fonction, après avoir écrit <code-inline>def nom_fonction():</code-inline>, revient à la ligne et indente (décalage vers la droite) toutes les instructions qui font partie de la fonction.",approved,,,FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_1625c0f1,task_type | FO_1.1.1.6 | technical+with_example_unrelated_to_exercise,0,AP_C_232f28b6_1,Text,technique,technical,"Pour définir le corps d'une fonction, après avoir écrit <code-inline>def nom_fonction():</code-inline>, revient à la ligne et indente (décalage vers la droite) toutes les instructions qui font partie de la fonction.",approved,,,FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_1625c0f1,task_type | FO_1.1.1.6 | technical+with_example_unrelated_to_exercise,1,AP_C_1625c0f1_1,Text,exemple,with_example_unrelated_to_exercise,"Voici un exemple de fonction qui contient trois instructions.

<code-block>
def moyenne(a, b):#Donne le nom moyenne à la fonction, et défini deux paramètres a et b
    somme = a + b #1re instruction : affecte la somme de a et de b à la variable total
    moy=somme / 2 #2e instruction : calcul de la moyenne et l'affecte à la variable moy 
    return moy # 3e instruction : permet que la fonction retourne la valeur de la variable moy
</code-block>",approved,,,FO_1.1.1.6 — Produire le corps d'une fonction,
AP_FB_4c13094e,task_type | FO_4.2 | logos,1,AP_C_4c13094e_1,Text,logos,logos,"Une fonction déclarée, c'est juste un ""petit programme"". Comme ton programme principal, si tu ne l'exécutes pas il ne se passe rien. On dit ""appeler cette fonction"" quand on veut qu'elle s'exécute dans le programme. Sans appel, la fonction ne sert à rien.",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_d91bb875,task_type | FO_4.2 | technical,1,AP_C_d91bb875_1,Text,technique,technical,"Quand tu veux qu'une fonction s'exécute à un endroit donné de ton programme, il faut l'appeler. Pour cela il faut écrire son nom suivi de parenthèses. Si elle est définie avec des paramètres, alors il faut indiquer autant de valeurs dans les parenthèses (les arguments) que de paramètres (en respectant l'ordre indiqué dans le <code-inline>def</code-inline>).",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_dad45616,task_type | FO_4.2 | logos+with_example_unrelated_to_exercise,1,AP_C_dad45616_1,Text,logos,logos,"Appeler une fonction c'est demander l'exécution du ""petit programme"" qu'elle définit, à l'endroit du programme principal où on l'appelle. Il faut utiliser son nom et éventuellement indiquer les valeurs à utiliser entre parenthèses (on parle des arguments avec lesquels on appelle la fonction).",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_dad45616,task_type | FO_4.2 | logos+with_example_unrelated_to_exercise,2,AP_C_dad45616_2,Text,exemple,with_example_unrelated_to_exercise,"Si on dispose d'une fonction, appelée <code-inline>aire<\code-inline>, qui renvoie l'aire d'un rectangle si on lui fournit sa longueur et sa largeur, alors le code suivant va afficher l'aire d'un rectangle de dimensions 12 et 5 puis celle d'un rectangle de dimensions 10 et 3.

<code-block>
print(aire(12, 5)) #on appelle la fonction aire avec les arguments 12 et 5 puis on affiche la valeur renvoyée
print(aire(10, 3)) #on appelle la fonction aire avec les arguments 10 et 3 puis on affiche la valeur renvoyée
</code-block>",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_895abd45,task_type | FO_4.2 | technical+with_example_unrelated_to_exercise,0,AP_C_895abd45_1,Text,technique,technical,"Pour appeler une fonction que tu as déclarée, écris son nom suivi de parenthèses. Si nécessaire indique entre les parenthèses la ou les valeurs attendues.
Vérifie que tu as bien défini ta fonction (<code-inline>def</code-inline> avant de l'appeler.",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_895abd45,task_type | FO_4.2 | technical+with_example_unrelated_to_exercise,1,AP_C_dad45616_2,Text,exemple,with_example_unrelated_to_exercise,"Si on dispose d'une fonction, appelée <code-inline>aire<\code-inline>, qui renvoie l'aire d'un rectangle si on lui fournit sa longueur et sa largeur, alors le code suivant va afficher l'aire d'un rectangle de dimensions 12 et 5 puis celle d'un rectangle de dimensions 10 et 3.

<code-block>
print(aire(12, 5)) #on appelle la fonction aire avec les arguments 12 et 5 puis on affiche la valeur renvoyée
print(aire(10, 3)) #on appelle la fonction aire avec les arguments 10 et 3 puis on affiche la valeur renvoyée
</code-block>",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_730ecf27,task_type | FO_4.2.1 | logos,1,AP_C_730ecf27_1,Text,logos,logos,On appelle <i>argument</i> d'une fonction la ou les valeurs que tu mets entre parenthèses après le nom de la fonction lorsque tu l'appelles. Ce sont ces valeurs qui vont être affectées aux paramètres utilisés lors de la définition de la fonction.,approved,,,FO_4.2.1 — Choisir l’argument avec lequel appeler la fonction déclarée,
AP_FB_0fd82eed,task_type | FO_4.2.1 | technical,1,AP_C_0fd82eed_1,Text,technique,technical,"Regarde le nom du paramètre dans la ligne <code-inline>def</code-inline> de la fonction et détermine comment il est utilisé, son utilité, dans le corps de la fonction. Ce paramètre prendra la valeur que tu indiques entre parenthèses lorsque tu appelles la fonction.
Remarque : s'il y a plusieurs paramètres le principe est le même, respecte l'ordre pour les valeurs (arguments) que tu indiques entre parenthèses.",approved,,,FO_4.2.1 — Choisir l’argument avec lequel appeler la fonction déclarée,
AP_FB_08563d3b,task_type | FO_4.2.1 | logos+with_example_unrelated_to_exercise,0,AP_C_730ecf27_1,Text,logos,logos,On appelle <i>argument</i> d'une fonction la ou les valeurs que tu mets entre parenthèses après le nom de la fonction lorsque tu l'appelles. Ce sont ces valeurs qui vont être affectées aux paramètres utilisés lors de la définition de la fonction.,approved,,,FO_4.2.1 — Choisir l’argument avec lequel appeler la fonction déclarée,
AP_FB_08563d3b,task_type | FO_4.2.1 | logos+with_example_unrelated_to_exercise,1,AP_C_08563d3b_2,Text,exemple,with_example_unrelated_to_exercise,"Voici un exemple qui va permettre d'afficher le carré de tous les nombres entiers de 0 à 9. Observe bien avec quel argument on appelle la fonction <code-inline>carre</code-inline>

<code-block>
def carre(nombre): #on définit la fonction carre qui a un seul paramètre
    return nombre * nombre #la fonction retourne le résultat du produit du paramètre * paramètre
# on est sorti de la fonction, on revient dans le programme principal
for i in range(10): #on définit une boucle, i va prendre les valeurs 0 à 9
    print(carre(i)) #on affiche le carré de i. La fonction carre est appelée avec i comme argument

</code-block>",approved,,,FO_4.2.1 — Choisir l’argument avec lequel appeler la fonction déclarée,
AP_FB_213c6063,task_type | FO_4.2.1 | technical+with_example_unrelated_to_exercise,0,AP_C_0fd82eed_1,Text,technique,technical,"Regarde le nom du paramètre dans la ligne <code-inline>def</code-inline> de la fonction et détermine comment il est utilisé, son utilité, dans le corps de la fonction. Ce paramètre prendra la valeur que tu indiques entre parenthèses lorsque tu appelles la fonction.
Remarque : s'il y a plusieurs paramètres le principe est le même, respecte l'ordre pour les valeurs (arguments) que tu indiques entre parenthèses.",approved,,,FO_4.2.1 — Choisir l’argument avec lequel appeler la fonction déclarée,
AP_FB_213c6063,task_type | FO_4.2.1 | technical+with_example_unrelated_to_exercise,1,AP_C_08563d3b_2,Text,exemple,with_example_unrelated_to_exercise,"Voici un exemple qui va permettre d'afficher le carré de tous les nombres entiers de 0 à 9. Observe bien avec quel argument on appelle la fonction <code-inline>carre</code-inline>

<code-block>
def carre(nombre): #on définit la fonction carre qui a un seul paramètre
    return nombre * nombre #la fonction retourne le résultat du produit du paramètre * paramètre
# on est sorti de la fonction, on revient dans le programme principal
for i in range(10): #on définit une boucle, i va prendre les valeurs 0 à 9
    print(carre(i)) #on affiche le carré de i. La fonction carre est appelée avec i comme argument

</code-block>",approved,,,FO_4.2.1 — Choisir l’argument avec lequel appeler la fonction déclarée,
AP_FB_b91de6bc,error | FO_4.2 | error_pointed,1,AP_C_b91de6bc_1,Text,erreur_pointée,error_pointed,"Tu as placé un appel à ta fonction au mauvais endroit dans ton programme. Attention, l'ordre des instructions compte, vérifie bien ce qui doit être réalisé avant l'appel à ta fonction.",approved,DECLARED_FUNCTION_CALL_INCORRECT_POSITION,"Un appel à une fonction définie par l'utilisateur est présent dans le programme de l'élève mais à un endroit différent de celui attendu — ni manquant, ni superflu, simplement mal positionné dans le flot d'exécution. Cause typique chez le novice : l'élève place l'appel avant une initialisation requise, ou après du code qui dépendait de ses effets de bord.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_fd0ac199,error | FO_4.2 | error_pointed+logos,0,AP_C_fd0ac199_1,Text,erreur_pointée,error_pointed,Ton appel à la fonction est au mauvais endroit dans le code. Regarde quelles instructions sont autour et vérifie si elles doivent s’exécuter avant ou après.,approved,DECLARED_FUNCTION_CALL_INCORRECT_POSITION,"Un appel à une fonction définie par l'utilisateur est présent dans le programme de l'élève mais à un endroit différent de celui attendu — ni manquant, ni superflu, simplement mal positionné dans le flot d'exécution. Cause typique chez le novice : l'élève place l'appel avant une initialisation requise, ou après du code qui dépendait de ses effets de bord.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_fd0ac199,error | FO_4.2 | error_pointed+logos,1,AP_C_4c13094e_1,Text,logos,logos,"Une fonction déclarée, c'est juste un ""petit programme"". Comme ton programme principal, si tu ne l'exécutes pas il ne se passe rien. On dit ""appeler cette fonction"" quand on veut qu'elle s'exécute dans le programme. Sans appel, la fonction ne sert à rien.",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_7aecbb0e,error | FO_4.2 | error_pointed+technical,0,AP_C_d91bb875_1,Text,technique,technical,"Quand tu veux qu'une fonction s'exécute à un endroit donné de ton programme, il faut l'appeler. Pour cela il faut écrire son nom suivi de parenthèses. Si elle est définie avec des paramètres, alors il faut indiquer autant de valeurs dans les parenthèses (les arguments) que de paramètres (en respectant l'ordre indiqué dans le <code-inline>def</code-inline>).",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_7aecbb0e,error | FO_4.2 | error_pointed+technical,1,AP_C_7aecbb0e_1,Text,erreur_pointée,error_pointed,Ton appel à la fonction est au mauvais endroit dans le programme. L'ordre des instructions détermine ce qui est prêt quand ta fonction s'exécute.,approved,DECLARED_FUNCTION_CALL_INCORRECT_POSITION,"Un appel à une fonction définie par l'utilisateur est présent dans le programme de l'élève mais à un endroit différent de celui attendu — ni manquant, ni superflu, simplement mal positionné dans le flot d'exécution. Cause typique chez le novice : l'élève place l'appel avant une initialisation requise, ou après du code qui dépendait de ses effets de bord.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_bf5df407,error | FO_4.2 | error_pointed,1,AP_C_bf5df407_1,Text,erreur_pointée,error_pointed,"Tu as bien défini ta fonction, mais tu ne l'appelles jamais. Une fonction ne s'exécute pas toute seule : il faut l'appeler pour cela (écrire une instruction avec le nom de la fonction et ce qu'on veut faire du résultat).",approved,DECLARED_FUNCTION_CALL_MISSING,"Un appel requis à une fonction définie par l'utilisateur est absent du programme de l'élève. La fonction peut être correctement définie, mais l'élève ne l'invoque nulle part alors que la solution attendue le fait. Cause typique chez le novice : l'élève définit une fonction puis réécrit manuellement sa logique à l'endroit où il devrait simplement l'appeler.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_f3b69e96,error | FO_4.2 | error_pointed+with_example_unrelated_to_exercise,1,AP_C_f3b69e96_1,Text,erreur_pointée,error_pointed,Tu as défini une fonction mais tu ne l'as jamais utilisée. Une fonction ne sert à rien si on ne l'appelle pas quelque part dans le programme. Pense à l'endroit où son code devrait s'exécuter.,approved,DECLARED_FUNCTION_CALL_MISSING,"Un appel requis à une fonction définie par l'utilisateur est absent du programme de l'élève. La fonction peut être correctement définie, mais l'élève ne l'invoque nulle part alors que la solution attendue le fait. Cause typique chez le novice : l'élève définit une fonction puis réécrit manuellement sa logique à l'endroit où il devrait simplement l'appeler.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_f3b69e96,error | FO_4.2 | error_pointed+with_example_unrelated_to_exercise,2,AP_C_f3b69e96_2,Text,exemple,with_example_unrelated_to_exercise,"Dans l'exemple ci-dessous on définit une fonction qui permet d'afficher la recette d'un smoothie selon le fuit souhaité.
<code-block>
def preparer_smoothie(fruit):
    print(""Recette du smoothie à la"", fruit, "": Mixer"", fruit, ""avec du yaourt et de la glace"")
</code-block>
Si on n'appelle pas cette fonction dans le programme elle ne va jamais être utilisée et il ne va ""rien se passer"".
Par exemple si tu veux afficher la recette du smoothie à la banane il faut intégrer l'instruction <code-inline> preparer_smoothie(""banane"") </code-inline> au moment où tu veux exécuter la fonction (par exemple après avoir demandé à l'utilisateur de choisir un fruit).
",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_6e572c3a,error | FO_4.2 | error_pointed+logos,0,AP_C_4c13094e_1,Text,logos,logos,"Une fonction déclarée, c'est juste un ""petit programme"". Comme ton programme principal, si tu ne l'exécutes pas il ne se passe rien. On dit ""appeler cette fonction"" quand on veut qu'elle s'exécute dans le programme. Sans appel, la fonction ne sert à rien.",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_6e572c3a,error | FO_4.2 | error_pointed+logos,1,AP_C_6e572c3a_1,Text,erreur_pointée,error_pointed,"Tu as défini une fonction, mais au lieu de l'utiliser tu recopies plusieurs fois le code réalisé par la fonction. Elle perd donc tout intérêt et ton code est moins lisible. A chaque fois que, dans ton code, il y a un bloc d'instructions identique au corps de ta fonction, tu dois remplacer ce bloc par un appel à la fonction.",approved,DECLARED_FUNCTION_CALL_MISSING,"Un appel requis à une fonction définie par l'utilisateur est absent du programme de l'élève. La fonction peut être correctement définie, mais l'élève ne l'invoque nulle part alors que la solution attendue le fait. Cause typique chez le novice : l'élève définit une fonction puis réécrit manuellement sa logique à l'endroit où il devrait simplement l'appeler.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_a9ba6baf,error | FO_4.2 | error_pointed,1,AP_C_a9ba6baf_1,Text,erreur_pointée,error_pointed,"Tu as appelé ta fonction une fois de trop. Une fonction sert à éviter de répéter du code, pas à le dupliquer sans raison. Vérifie si tous les appels à ta fonction sont vraiment nécessaires.",approved,DECLARED_FUNCTION_CALL_UNNECESSARY,"Le programme de l'élève contient un appel à une fonction définie par l'utilisateur sans contrepartie dans la solution attendue. Cause typique chez le novice : l'élève appelle la fonction une fois de trop, ou l'invoque à un endroit où la solution attendue ne le fait pas.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_2ca31333,error | FO_4.2 | error_pointed+logos,0,AP_C_4c13094e_1,Text,logos,logos,"Une fonction déclarée, c'est juste un ""petit programme"". Comme ton programme principal, si tu ne l'exécutes pas il ne se passe rien. On dit ""appeler cette fonction"" quand on veut qu'elle s'exécute dans le programme. Sans appel, la fonction ne sert à rien.",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_2ca31333,error | FO_4.2 | error_pointed+logos,1,AP_C_a9ba6baf_1,Text,erreur_pointée,error_pointed,"Tu as appelé ta fonction une fois de trop. Une fonction sert à éviter de répéter du code, pas à le dupliquer sans raison. Vérifie si tous les appels à ta fonction sont vraiment nécessaires.",approved,DECLARED_FUNCTION_CALL_UNNECESSARY,"Le programme de l'élève contient un appel à une fonction définie par l'utilisateur sans contrepartie dans la solution attendue. Cause typique chez le novice : l'élève appelle la fonction une fois de trop, ou l'invoque à un endroit où la solution attendue ne le fait pas.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_3ef6cae6,error | FO_4.2 | error_pointed+technical,0,AP_C_d91bb875_1,Text,technique,technical,"Quand tu veux qu'une fonction s'exécute à un endroit donné de ton programme, il faut l'appeler. Pour cela il faut écrire son nom suivi de parenthèses. Si elle est définie avec des paramètres, alors il faut indiquer autant de valeurs dans les parenthèses (les arguments) que de paramètres (en respectant l'ordre indiqué dans le <code-inline>def</code-inline>).",approved,,,FO_4.2 — Appeler une fonction déclarée,
AP_FB_3ef6cae6,error | FO_4.2 | error_pointed+technical,1,AP_C_a9ba6baf_1,Text,erreur_pointée,error_pointed,"Tu as appelé ta fonction une fois de trop. Une fonction sert à éviter de répéter du code, pas à le dupliquer sans raison. Vérifie si tous les appels à ta fonction sont vraiment nécessaires.",approved,DECLARED_FUNCTION_CALL_UNNECESSARY,"Le programme de l'élève contient un appel à une fonction définie par l'utilisateur sans contrepartie dans la solution attendue. Cause typique chez le novice : l'élève appelle la fonction une fois de trop, ou l'invoque à un endroit où la solution attendue ne le fait pas.",FO_4.2 — Appeler une fonction déclarée,
AP_FB_26f4c39d,exercise | FO_1.1.1.1 | logos+with_example_related_to_exercise,1,AP_C_26f4c39d_1,Text,logos,logos,"Choisir le nom d'une fonction, c'est décider du mot que tu vas écrire chaque fois que tu veux l'utiliser. C'est mieux quand ce nom est lié à ce que fait la fonction. Tu l'utilises à chaque fois que tu appelles la fonction quand tu écris ton programme. Ainsi quand tu lis ton code il est plus facile de comprendre ce que fait l'appel à l'appel à la fonction.",approved,,,FO_1.1.1.1 — Déterminer le nom d'une fonction,D-6 : Petits et grands
AP_FB_26f4c39d,exercise | FO_1.1.1.1 | logos+with_example_related_to_exercise,2,AP_C_26f4c39d_2,Text,exemple,with_example_related_to_exercise,"La fonction suivante, nommée <code-inline>carre</code-inline>, permet de tracer un carré de côté n.
<code-block>
def carre(n):
   for i in range(4):
       avancer(n)
       tourner(90)
</code-block>

Il est plus simple de lire et comprendre un code dans lequel il y a comme instructions
<code-block>
carre(5)
carre(2)
carre(8)
</code-block>

que

<code-block>
truc(5)
truc(2)
truc(8)
</code-block>
",approved,,,FO_1.1.1.1 — Déterminer le nom d'une fonction,D-6 : Petits et grands
AP_FB_ea66ecfc,exercise | FO_1.1.1.1 | technical+with_example_related_to_exercise,0,AP_C_ea66ecfc_2,Text,technique,technical,"Pour définir ta fonction, commence par écrire <code-inline>def</code-inline> suivi du nom que tu choisis, ici <code-inline>carre</code-inline>. N'oublie pas les parenthèses et le deux-points après le nom.",approved,,,FO_1.1.1.1 — Déterminer le nom d'une fonction,D-6 : Petits et grands
AP_FB_ea66ecfc,exercise | FO_1.1.1.1 | technical+with_example_related_to_exercise,1,AP_C_26f4c39d_2,Text,exemple,with_example_related_to_exercise,"La fonction suivante, nommée <code-inline>carre</code-inline>, permet de tracer un carré de côté n.
<code-block>
def carre(n):
   for i in range(4):
       avancer(n)
       tourner(90)
</code-block>

Il est plus simple de lire et comprendre un code dans lequel il y a comme instructions
<code-block>
carre(5)
carre(2)
carre(8)
</code-block>

que

<code-block>
truc(5)
truc(2)
truc(8)
</code-block>
",approved,,,FO_1.1.1.1 — Déterminer le nom d'une fonction,D-6 : Petits et grands
AP_FB_8ea36f5b,error_exercise | FO_1.1.1.1 | error_pointed,0,AP_C_8ea36f5b_2,Text,erreur_pointée,error_pointed,"Tu as nommé ta fonction avec un nom différent de celui demandé dans l'énoncé. Le nom carre est imposé car le reste du programme l'utilise pour appeler ta fonction, si tu choisis un nom différent il ne peut pas fonctionner.

Une fonction doit être appelée exactement avec le nom avec lequel elle a été définie.",approved,FUNCTION_DEFINITION_NAME_ERROR,"Le nom de la fonction définie par l'élève diffère de celui attendu. La structure de la fonction (paramètres, corps, retour) peut être correcte, mais son identifiant ne correspond pas. Cause typique chez le novice : l'élève lit mal l'énoncé ou utilise un synonyme (par ex. `dessiner` au lieu de `tracer`).",FO_1.1.1.1 — Déterminer le nom d'une fonction,D-6 : Petits et grands
AP_FB_a769dedb,exercise | FO_1.1.1.2 | logos+with_example_related_to_exercise,1,AP_C_a769dedb_1,Text,logos,logos,"Une fonction sans paramètre, c'est un bloc d'instructions que tu nommes et qui produire le même résultat à chaque appel. 
Dans ce cas on laisse les parenthèses avec rien à l'intérieur après le nom de la fonction.",approved,,,"FO_1.1.1.2 — Déterminer les paramètres (noms, types, valeurs par défaut) d'une fonction",D-5 : Création d'une fonction
